address_details;city;employee_size;id;keywords;municipality;name;path;searchwords;trade_id;trade_name;workplace_name
Nils Ericsons väg 1, Håverud;Håverud;10-19;1619507;;80;Dalslands Kanal AB;companies/show/1619507;;1806;Stödtjänster till sjötransport;Administration
Sunnanå Säter 10, Mellerud;Mellerud;;1619679;;80;Minita AB;companies/show/1619679;;1758;Postorderhandel och detaljhandel på internet med övriga varor;
Ryrsvägen 16, Köpmannebro;Köpmannebro;0;1619863;;80;Mueller, Hanno;companies/show/1619863;;1580;Parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar;
Töra Intakan 1, Mellerud;Mellerud;0;1620649;;80;J-Con Intakan;companies/show/1620649;;1945;Teknisk konsultverksamhet inom bygg och anläggningsteknik;
Pålbön 7, Mellerud;Mellerud;0;1620847;;80;"Killéns Trä &amp; Fönsterhantverk";companies/show/1620847;;1528;Byggande av bostadshus och andra byggnader;
Ryr Ödegården 5, Köpmannebro;Köpmannebro;0;1620863;;80;Karlsson, Karl Ingemar;companies/show/1620863;;1110;Drivning;
Stockenäs Blomstervägen 4, Mellerud;Mellerud;0;1620885;;80;Ra-Konsult;companies/show/1620885;;1946;Teknisk konsultverksamhet inom industriteknik;
Muggerud Väntebacken 1, Mellerud;Mellerud;0;1620937;;80;Larsson, Per Olov Arne;companies/show/1620937;;1098;Blandat jordbruk;
Kroppefjällsvägen 3, Dals Rostock;Dals Rostock;;1621296;;80;Myranehus AB;companies/show/1621296;;1831;Cateringverksamhet vid enskilda evenemang;
Ekholmens Säteri 1, Dals Rostock;Dals Rostock;0;1622087;;80;Biogas Dalsland Ekonomisk Förening;companies/show/1622087;;1504;Framställning av gas;
Norra Dyreberg 2, Mellerud;Mellerud;0;1623206;;80;Fredriksson, Sten Åke Lennart;companies/show/1623206;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Gråfålerud Ängen 1, Mellerud;Mellerud;0;1623227;;80;Smedbäck, Karl-Anders Roland;companies/show/1623227;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Storvägen 16, Åsensbruk;Åsensbruk;0;1687609;;80;Lynghammar Trading;companies/show/1687609;;1752;Postorderhandel och detaljhandel på internet med beklädnadsvaror;
Box 72, Mellerud;Mellerud;;1699917;;80;Cast i Göteborg AB;companies/show/1699917;;1920;Uthyrning och förvaltning av egna eller arrenderade industrilokaler;
Rävsalen 303, Fengersfors;Dals Rostock;0;1850544;;80;Guldåkers Snickeri;companies/show/1850544;;1471;Tillverkning av andra möbler;
Tångebyn 3, Dalskog;Dalskog;1-4;1850547;;80;Svensson, Nils Lennart;companies/show/1850547;;1083;Mjölkproduktion och uppfödning av nötkreatur och mjölkras;
Landsvägsgatan 36, Mellerud;Mellerud;200-499;1850548;"bilhandel
bilhandlare";80;Brandt Personbilar AB;companies/show/1850548;;1570;Handel med personbilar och lätta motorfordon;
Västerråda 1, Mellerud;Mellerud;;1850549;;80;Lundgren Dental AB;companies/show/1850549;;1482;Tillverkning av tandproteser;
Ransbergsvägen 6, Köpmannebro;Köpmannebro;0;1850550;;80;Johansson, Bengt Ture David;companies/show/1850550;;1920;Uthyrning och förvaltning av egna eller arrenderade industrilokaler;
Årbol 4, Dalskog;Dalskog;0;1850551;;80;Bengts Maskingrävning;companies/show/1850551;;1543;Mark- och grundarbeten;
Postgatan 22, Mellerud;Mellerud;0;1850555;;80;Karlsson, Bo Göran Ingvar;companies/show/1850555;;1110;Drivning;
Linnégatan 28, Mellerud;Mellerud;0;1850559;;80;Fredriksson, Anders John Gunnar;companies/show/1850559;;2132;Artistisk verksamhet;
Bråna 3, Mellerud;Mellerud;0;1850560;;80;Kraft, Jeanette Anna Maria;companies/show/1850560;;1921;Uthyrning och förvaltning av egna eller arrenderade, andra lokaler;
Nygården 8, Mellerud;Mellerud;1-4;1850561;;80;Gustafsson, Nils Olof Ingevald;companies/show/1850561;;1090;Uppfödning av slaktsvin;
Björnebol Backen 1, Mellerud;Mellerud;0;1850562;;80;Broberg, Stefan Kjell Ingemar;companies/show/1850562;;1089;Uppfödning av smågrisar;
Norra Östebo 9, Håverud;Håverud;0;1850563;;80;Möller, Jens-Torsten;companies/show/1850563;;1098;Blandat jordbruk;
Tegen 3, Dalskog;Dalskog;0;1850564;;80;Jansson, Anders Klaes-Göran;companies/show/1850564;;1098;Blandat jordbruk;
Gerdsrud 13, Mellerud;Mellerud;0;1850567;;80;Lidberg, Jessica Mari;companies/show/1850567;;1567;Övrig specialiserad bygg- och anläggningsverksamhet;
Krokfors Gård 1, Mellerud;Mellerud;0;1850568;;80;Andersson, Karl Anders Lennart;companies/show/1850568;;1098;Blandat jordbruk;
Karlavagnsgatan 14, Mellerud;Mellerud;0;1850569;"bilverkstad
bilreparation
bilreparationer
bilservice
";80;Ahlström, Joakim Jan;companies/show/1850569;;1575;Allmän service och reparation av motorfordon utom motorcyklar;
Kabbo Intagan 1, Dalskog;Dalskog;0;1850570;;80;Andersson, David Andreas;companies/show/1850570;;1098;Blandat jordbruk;
Lågen 1, Mellerud;Mellerud;0;1850571;;80;Persson, Lars Ingemar;companies/show/1850571;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Östanå Gård 2, Mellerud;Mellerud;0;1850573;;80;Krus, John-Erik Roland;companies/show/1850573;;1068;Odling av övriga ett- och tvååriga växter;
Snickargatan 2, Mellerud;Mellerud;1000-1499;1850574;;80;Melleruds Kommun;companies/show/1850574;;2060;Grundskoleutbildning och förskoleklass;Nordalsskolan
Vallmogatan 22, Mellerud;Mellerud;1000-1499;1850575;;80;Melleruds Kommun;companies/show/1850575;;2110;Boende med särskild service för personer med utvecklingsstörning, psykiska funktionshinder eller missbruksproblem;Servicebostad Vallmogatan
Norra Kungsgatan 30, Mellerud;Mellerud;1000-1499;1850576;;80;Melleruds Kommun;companies/show/1850576;;2058;Förskoleutbildning;Förskola Lunden
Kvarnvägen 4, Åsensbruk;Åsensbruk;1000-1499;1850577;;80;Melleruds Kommun;companies/show/1850577;;2060;Grundskoleutbildning och förskoleklass;Åsens Skola
Parkgatan 6, Mellerud;Mellerud;1000-1499;1850578;;80;Melleruds Kommun;companies/show/1850578;;2060;Grundskoleutbildning och förskoleklass;Rådaskolan
Barkvägen 3, Åsensbruk;Åsensbruk;1000-1499;1850579;;80;Melleruds Kommun;companies/show/1850579;;2114;Vård och omsorg i särskilda boendeformer för äldre;Skållerudshemmet
